prompt	stmt_a	stmt_b	stmt_c	lie_option	explanation	correct_fact	trap_type	difficulty
Кето-енольная таутомерия 29	Кето-енольная таутомерия характерна для карбонильных соединений с α-водородом.	В большинстве случаев равновесие смещено к кето-форме, потому что связь C=O обычно выгоднее.	Таутомерия означает смену состава: число атомов становится другим в каждой форме.	C	Таутомеры имеют один и тот же состав; меняются положение H и кратной связи, а не набор атомов.	Правда: таутомеры — изомеры одинакового состава, отличающиеся положением H и π-связи.	origin	2
E/Z у алкенов 30	E/Z-изомерия возможна, если у каждого атома C двойной связи по два разных заместителя.	У 2-бутена есть цис- и транс-изомеры, а у пропена такой пары изомеров нет.	Вращение вокруг двойной связи свободное, поэтому E и Z быстро переходят друг в друга при комнатной t.	C	Вращение вокруг C=C затруднено из-за π-связи; изомеры устойчивы и не изомеризуются «сами».	Правда: для перехода E↔Z нужно разорвать π-связь (или пройти фотохимию/катализ), поэтому изомеры устойчивы.	causation	2
Хиральность и энантиомеры 31	Хиральный центр — атом (обычно C) с четырьмя разными заместителями; это даёт пару энантиомеров.	Энантиомеры одинаковы по tкип и tпл в ахиральной среде, но вращают поляризацию в разные стороны.	Любая молекула с двойной связью автоматически хиральна, потому что двойная связь «асимметрична».	C	Двойная связь сама по себе не создаёт хиральность; нужна общая асимметрия и отсутствие плоскости симметрии.	Правда: хиральность появляется из-за асимметрии (например, хирального центра), а не из-за факта C=C.	generalization	2
Полярность карбонила 32	Связь C=O полярна: углерод карбонила частично положителен и атакуется нуклеофилами.	Присоединение HCN к карбонилам даёт циангидрины по нуклеофильному механизму.	Карбонильный кислород всегда электрофил, потому что на нём частичный минус и он «тянет» нуклеофилы.	C	Электрофилен атом углерода (δ+), а кислород (δ−) чаще проявляет основность/нуклеофильность.	Правда: в карбонильной группе главный электрофильный центр — углерод карбонила.	causation	2
Гидролиз эфиров 33	Кислотный гидролиз сложных эфиров обратим и даёт спирт и кислоту при нагревании.	Щелочной гидролиз эфиров (омыление) идёт почти необратимо из-за образования соли кислоты.	Щелочной гидролиз эфиров обратим так же, как кислотный: равновесие одинаковое.	C	В щёлочи кислота превращается в соль, продукт «уходит» из равновесия, и процесс становится необратимым.	Правда: омыление практически необратимо, а кислотный гидролиз обычно равновесный.	causation	2
Амиды: резонанс 34	Амидная группа –CONH2 менее основна, чем амины: пара N делокализуется на C=O.	Амиды гидролизуются труднее эфиров: резонанс укрепляет связь C–N и снижает электрофильность карбонила.	Амиды — самые сильные основания среди производных кислот, потому что у них есть азот.	C	Резонанс делает пару N менее доступной для протонирования, поэтому амиды — слабые основания.	Правда: амиды заметно слабее основания, чем амины, из-за делокализации электронной пары.	causation	2
Декарбоксилирование солей 35	Соли карбоновых кислот при нагревании с содовой известью могут давать алканы (декарбоксилирование).	При декарбоксилировании ацетата натрия получается метан: цепь укорачивается на один атом углерода.	Декарбоксилирование увеличивает число атомов углерода, потому что CO2 «пристраивается» к молекуле.	C	CO2 как раз удаляется, поэтому углерода становится меньше, а не больше.	Правда: декарбоксилирование удаляет –COO− как CO2 и укорачивает цепь на один атом C.	numbers	2
Реакция Канниццаро 36	Канниццаро идёт у альдегидов без α-водородов: одна молекула окисляется, другая восстанавливается.	Бензальдегид в щёлочи даёт бензоат и бензиловый спирт как продукты диспропорционирования.	Канниццаро характерна для кетонов: у них нет –CHO, поэтому они «лучше диспропорционируют».	C	Это реакция именно альдегидов без α-H; обычные кетоны в ней не участвуют.	Правда: реакция Канниццаро — диспропорционирование альдегидов, у которых нет α-водородов.	scope_shift	2
Фридель–Крафтс 37	Алкилирование Фриделя–Крафтса вводит алкильную группу в бензол при катализаторе AlCl3.	Ацилирование Фриделя–Крафтса вводит ацильную группу и обычно не даёт катионных перегруппировок.	Фридель–Крафтс легко идёт на нитробензоле: –NO2 активирует ядро и ускоряет замещение.	C	–NO2 сильно дезактивирует кольцо, поэтому Фридель–Крафтс на нитробензоле почти не идёт.	Правда: реакции Фриделя–Крафтса требуют достаточно активированного ядра; сильные акцепторы их тормозят.	authority	2
Бензильное галогенирование 38	У алкилбензолов возможно радикальное галогенирование в бензильном положении при свете (hv).	Толуол при хлорировании на свету может давать бензилхлорид — замещение в боковой цепи.	При свете алкилбензолы хлорируются только по ядру и не реагируют по боковой цепи.	C	При hv радикальное замещение часто идёт именно по бензильному атому углерода из-за стабилизации радикала.	Правда: в радикальных условиях (hv) алкилбензолы легко реагируют в бензильном положении.	causation	2
Получение фенола 39	Фенол можно получить гидролизом хлорбензола в жёстких условиях: щёлочь, высокая t и давление.	Фенол реагирует с NaOH, образуя фенолят; это удобный способ «перевести» фенол в соль.	Фенол легко получают прямым присоединением воды к бензолу при комнатной температуре.	C	Бензол не присоединяет воду так просто: это разрушает ароматичность и требует специальных путей/условий.	Правда: фенол получают специальными методами, а не прямым «гидратированием» бензола.	scope_shift	2
Поликонденсация 40	Поликонденсация часто сопровождается выделением малых молекул (H2O, HCl) — это её «подпись».	Полиэфиры и полиамиды получают поликонденсацией диолов/диаминов с дикарбоновыми кислотами или их хлоридами.	Поликонденсация всегда идёт без выделения малых молекул, иначе полимер «не получится».	C	Выделение малых молекул — нормальная часть механизма поликонденсации, а не «ошибка».	Правда: при поликонденсации часто выделяются небольшие молекулы, и это ожидаемо.	generalization	2
Хюккель и антиароматичность 41	Ароматичность связана с делокализацией π-электронов и даёт дополнительную устойчивость системе.	Циклобутадиен (4 π-электрона) считают антиароматичным, поэтому он крайне нестабилен.	Любой плоский цикл с 4n π-электронами ароматичен, потому что «кратность даёт резонанс».	C	По правилу Хюккеля ароматичны системы с (4n+2) π-электронами; 4n часто антиароматичны.	Правда: ароматичны плоские циклы с (4n+2) π-электронами, а 4n-системы часто антиароматичны.	authority	3
Галогены: ориентация 42	Галогены дезактивируют бензол по –I-эффекту, поэтому SEAr идёт медленнее, чем у бензола.	При этом галогены ориентируют замещение в орто/пара за счёт +M-донорства неподелённых пар.	Галогены дезактивируют и поэтому всегда направляют замещение в мета-положение, как –NO2.	C	У галогенов есть резонансное донорство, поэтому они орто/пара-директоры, хоть и дезактивируют.	Правда: галогены — исключение: дезактивируют кольцо, но ориентируют в орто/пара.	authority	3
Перегруппировки карбокатионов 43	В SN1 и E1 возможны перегруппировки: катион может перестроиться к более стабильному.	Гидрид-сдвиг или метильный сдвиг способен изменить скелет и «переписать» основной продукт.	В SN2 перегруппировки так же часты, как в SN1, потому что в SN2 тоже образуется карбокатион.	C	SN2 идёт одной стадией без карбокатиона, поэтому перегруппировки для него нехарактерны.	Правда: перегруппировки характерны для механизмов через карбокатион (SN1/E1), но не для SN2.	causation	3
Сопряжённые диены 44	Сопряжённые диены устойчивее несопряжённых: π-электроны частично делокализуются по цепи.	К 1,3-бутадиену возможны 1,2- и 1,4-присоединение, а соотношение зависит от температуры.	Для сопряжённых диенов возможен только 1,2-продукт: 1,4-присоединение «запрещено» строением.	C	Сопряжение как раз допускает 1,4-присоединение; при разных t может доминировать разный продукт.	Правда: у сопряжённых диенов возможны 1,2- и 1,4-присоединение (кинетический vs термодинамический контроль).	causation	3
Эпоксиды: где атака 45	Эпоксиды напряжены, поэтому легко раскрываются нуклеофилами; направление зависит от условий.	В кислой среде нуклеофил чаще атакует более замещённый атом C эпоксида из-за катионного характера.	В щелочной среде атака идёт по более замещённому атому C, потому что он «богаче электронами».	C	В основе механизм SN2-подобный, и атака идёт по менее замещённому C из-за стерических факторов.	Правда: в щелочной среде эпоксиды раскрываются по менее замещённому C, а в кислой — часто по более замещённому.	scope_shift	3
Фенол: заместители и кислотность 46	Фенол более кислый, чем этанол: фенолят стабилизируется резонансом в ароматическом кольце.	Алкильные заместители в феноле обычно уменьшают кислотность, «подкармливая» фенолят электронами.	Нитрогруппа в феноле уменьшает кислотность, потому что оттягивает электроны и мешает отрыву H+.	C	–NO2 стабилизирует фенолят, поэтому кислотность возрастает, а не падает.	Правда: электронноакцепторные группы (например, –NO2) обычно повышают кислотность фенола.	causation	3
Реактив Гриньяра 47	Реактивы Гриньяра (RMgX) ведут себя как сильные нуклеофилы и присоединяются к карбонилам по углероду.	Контакт с водой или спиртом разрушает RMgX: протонирование даёт углеводород RH.	Реактив Гриньяра удобно хранить в воде, чтобы он был стабильнее и не окислялся на воздухе.	C	Вода мгновенно «глушит» RMgX, поэтому всё делают в безводных условиях и сухих растворителях.	Правда: реакции Гриньяра проводят в сухих средах; вода/спирты немедленно разрушают реагент.	urgency	3
Альдегид vs кетон 48	Альдегиды обычно активнее кетонов в нуклеофильном присоединении из-за меньшей стерики.	Донорные заместители снижают электрофильность карбонильного углерода, делая присоединение менее лёгким.	Кетоны активнее альдегидов, потому что два алкила сильнее «тянут» электронную плотность с карбонила.	C	Алкилы в целом донорны и экранируют карбонил, поэтому кетоны обычно менее активны.	Правда: альдегиды, как правило, реакционноспособнее кетонов в нуклеофильном присоединении.	causation	3
Арилгалогениды и замещение 49	Замещение в хлорбензоле затруднено: связь C–Cl частично «двойная», и это снижает реактивность.	Некоторые заместители в кольце могут облегчать нуклеофильное замещение в арилгалогенидах (особые механизмы).	Хлорбензол гидролизуется водой быстрее хлорэтана, потому что ароматическое кольцо стабилизирует переходное состояние.	C	Арилгалогениды обычно менее реакционноспособны и требуют жёстких условий/активации.	Правда: хлорбензол обычно реагирует в замещении труднее, чем алкилгалогениды; часто нужны жёсткие условия или активирующие группы.	scope_shift	3
E1 vs E2 50	E2 — одностадийное отщепление: сильное основание и анти-перипланарность H и уходящей группы важны.	E1 идёт через карбокатион и часто конкурирует со SN1, особенно в протонных растворителях.	E2 всегда требует слабого основания, иначе реакция «пойдёт слишком быстро и остановится».	C	E2 обычно ускоряется сильными основаниями; слабые основания чаще благоприятствуют E1.	Правда: для E2 обычно нужны достаточно сильные основания; E1 чаще идёт при слабых основаниях и стабильных катионах.	causation	3
Дильс–Альдер 51	Дильс–Альдер — [4+2] циклоприсоединение диена и диенофила, дающее циклогексеновое кольцо.	Реакция стереоспецифична: конфигурация заместителей диенофила отражается в продукте.	Диенофилом служит алкан, потому что у алкенов «мешает» π-связь и реакция не идёт.	C	Диенофилом обычно является алкен или алкин; именно π-связь участвует в циклоприсоединении.	Правда: в реакции Дильса–Альдера диенофил — это обычно алкен/алкин, а не алкан.	scope_shift	3
SEAr при нескольких заместителях 52	Сильные акцепторы (–NO2, –SO3H) уменьшают электронную плотность кольца и тормозят SEAr.	При нескольких заместителях направление замещения — результат суммы эффектов; часто выигрывает активатор.	Если в кольце есть мета-директор, остальные группы уже не важны: замещение всегда идёт только в мета.	C	Заместители могут «спорить»; возможны разные направления и смеси — универсального «всегда только мета» нет.	Правда: ориентация в SEAr определяется совокупным влиянием всех заместителей и условий реакции.	generalization	3
Кислотность и акцепторы 53	Карбоновые кислоты сильнее спиртов: карбоксилат-ион стабилизирован резонансом на двух атомах O.	Электронноакцепторные заместители рядом с –COOH обычно усиливают кислотность, стабилизируя анион.	Уксусная кислота сильнее трихлоруксусной, потому что хлор повышает pKa и «смягчает» кислоту.	C	Хлор — сильный акцептор, он понижает pKa и делает кислоту заметно сильнее, не слабее.	Правда: трихлоруксусная кислота значительно сильнее уксусной из-за сильного –I-эффекта Cl.	numbers	3
Основность анилина 54	Анилин слабее основание, чем циклогексиламин: пара N частично делокализуется в ароматическую систему.	Донорные заместители в кольце анилина могут повышать основность, делая пару N более доступной.	Протонирование анилина усиливает резонанс с кольцом, поэтому основность возрастает после присоединения H+.	C	После протонирования у N нет неподелённой пары, резонанс по ней невозможен.	Правда: протонированный анилин не имеет пары на N, поэтому резонанс по этой паре исчезает.	causation	3
Энолаты и α-галогенирование 55	Энолаты образуются при отрыве α-протона у карбонильных соединений и нуклеофильны по углероду.	В кислой среде α-галогенирование кетонов часто останавливается на моно-замещении.	В основной среде α-галогенирование тоже останавливается после одной замены, ведь галоген «дезактивирует» α-углерод.	C	В основе продукт часто реагирует дальше; возможна многократная замена.	Правда: в основной среде α-галогенирование часто идёт дальше первого шага; кислые условия обычно более селективны.	generalization	3
Йодоформная реакция 56	Метилкетоны при действии I2/NaOH могут давать CHI3 и соль карбоновой кислоты (галоформная реакция).	Йодоформная реакция — тест на фрагмент –COCH3 или на спирты, окисляющиеся до него.	Йодоформ образуется у любого кетона с I2/NaOH, ведь у всех кетонов есть метильная группа.	C	Реакция специфична для метилкетонов; у многих кетонов нет –COCH3.	Правда: йодоформная реакция характерна для метилкетонов и некоторых спиртов, а не для всех кетонов.	scope_shift	3
Ацетали как защита 57	Ацетали образуются из карбонилов и спиртов в кислой среде и обычно устойчивы в щёлочи.	Ацеталирование обратимо: в кислой воде ацеталь гидролизуется обратно в карбонильное соединение.	Ацетали легко гидролизуются в щелочной среде, поэтому защищают карбонил только от кислот.	C	Ацетали устойчивы к щёлочи и «снимаются» кислотным гидролизом.	Правда: ацетали стабильны в щелочной среде и разрушаются в кислой, поэтому удобны как кислотоснимаемая защита.	scope_shift	3
Бензильное положение 58	Бензильный карбокатион и радикал стабилизируются резонансом, поэтому реакции в бензильном положении идут легче.	Окисление в бензильном положении часто протекает легче, чем в обычной алкильной цепи при схожих условиях.	Бензильное положение полностью инертно: ароматическое кольцо блокирует любые реакции рядом.	C	Резонансная стабилизация повышает устойчивость интермедиатов и облегчает реакции.	Правда: бензильное положение часто более реакционноспособно из-за резонансной стабилизации катиона/радикала.	generalization	3
NaBH4 vs LiAlH4 59	NaBH4 обычно восстанавливает альдегиды и кетоны до спиртов, но слабее реагирует с эфирами и кислотами.	LiAlH4 сильнее и способен восстанавливать также сложные эфиры и карбоновые кислоты в безводных условиях.	NaBH4 восстанавливает карбоновые кислоты быстрее альдегидов, потому что кислота «сама отдаёт H+».	C	Карбоновые кислоты слишком «трудные» для NaBH4; альдегиды/кетоны восстанавливаются легче.	Правда: NaBH4 обычно восстанавливает альдегиды и кетоны; кислоты и эфиры чаще требуют более сильных восстановителей.	causation	3
Кислотность α-водородов 60	α-Водороды у карбонильных соединений относительно кислотны: энолат стабилизируется резонансом.	У 1,3-дикарбонильных соединений α-протон ещё кислотнее: заряд делокализуется на два карбонила.	α-Водороды у алканов кислотнее, чем у кетонов: без C=O водород «отрывается легче».	C	Карбонил стабилизирует анион, поэтому α-H у карбонилов намного кислотнее, чем у алканов.	Правда: α-водороды у карбонильных соединений (особенно 1,3-дикарбонилов) заметно более кислотны, чем у алканов.	causation	3
